Reposo,Esfuerzo,Meditacion,Abriendo Cerrando ojos Cerebro,Abriendo Cerrando ojos  Corazon,AYB Cerebro,AYB Corazon ,Meditando Cerebro,Meditando Corazon,MeditandoSeg
0.018568582,-0.000530979,-0.011512835,0.004403466,-0.027986246,-0.010876183,-0.023530281,0.025412984,-0.05599517,-0.015969399
0.044034664,0.012202062,-0.011512835,-0.003236358,-0.02543998,-0.014696095,-0.023530281,0.015226551,-0.052175771,-0.016606051
0.050401185,0.037668144,-0.005146314,-0.010876183,-0.02543998,-0.023609224,-0.020347448,0.0305062,-0.052175771,-0.012149487
0.050401185,0.031301623,0.001856858,-0.007692922,-0.024803414,-0.014059443,-0.019710882,0.031779504,-0.052175771,-0.011512835
0.063134226,0.012202062,0.010769987,-0.010876183,-0.026713113,-0.021062615,-0.018437749,0.02413968,-0.041990708,-0.003236358
0.088600307,0.037668144,0.004403466,-0.011512835,-0.020984015,-0.015332747,-0.017801183,0.021593072,-0.041354141,-0.010876183
0.075867267,0.024935103,-0.00387301,-0.010239531,-0.023530281,-0.029975744,-0.019074316,0.034962765,-0.038807876,-0.013422791
0.101333348,0.037668144,0.005040118,-0.015332747,-0.022893714,-0.017879355,-0.024166847,0.035599417,-0.03626161,0.001220206
0.075867267,0.018568582,-0.00068975,0.009496683,-0.026076547,-0.020425963,-0.02543998,0.015226551,-0.03435191,-0.006419618
0.101333348,0.056767705,0.007586727,-5.31E-05,-0.021620581,-0.010876183,-0.026076547,0.026049636,-0.039444442,-0.013422791
0.101333348,0.050401185,0.000583554,0.00249351,-0.018437749,-0.015332747,-0.028622812,0.019046464,-0.043900407,-0.002599706
0.12043291,0.082233787,0.015863203,0.010133335,-0.021620581,-0.017879355,-0.029895945,0.042602589,-0.044536974,-0.014696095
0.12043291,0.114066389,0.008860031,0.003130162,-0.027349679,-0.010876183,-0.026713113,0.027959592,-0.046446673,-0.001326402
0.12679943,0.12679943,0.010133335,0.006950075,-0.029895945,-0.014696095,-0.028622812,0.016499855,-0.042627274,0.006313423
0.12043291,0.12679943,-0.001963054,0.02413968,-0.02543998,-0.004509662,-0.013981784,0.021593072,-0.040081008,0.004403466
0.12679943,0.12679943,0.001856858,0.033052809,-0.028622812,-0.008329575,-0.017801183,0.022866376,-0.033715344,-0.004509662
0.12679943,0.158632033,0.001856858,0.040055981,-0.026076547,-0.002599706,-0.015254917,0.02095642,-0.033715344,-0.00068975
0.101333348,0.158632033,-0.00068975,0.036872721,-0.021620581,0.003766814,-0.023530281,0.034326113,-0.038171309,-0.008329575
0.107699869,0.190464635,-0.001963054,0.050879066,-0.020984015,-0.008329575,-0.019074316,0.019683116,-0.043263841,-0.009602879
0.107699869,0.222297238,-0.00705627,0.057245586,-0.022893714,-0.009602879,-0.020347448,0.029232896,-0.044536974,-0.015969399
0.107699869,0.215930717,-0.005782966,0.069978627,-0.021620581,-0.005146314,-0.020347448,0.026049636,-0.03626161,-0.014696095
0.094966828,0.235030278,0.006950075,0.075708496,-0.024166847,-0.011512835,-0.02543998,0.029869548,-0.033078778,-0.009602879
0.107699869,0.247763319,-0.005782966,0.087168233,-0.020984015,-0.001326402,-0.022893714,0.025412984,-0.031805645,-0.011512835
0.101333348,0.247763319,-0.007692922,0.089078189,-0.020347448,-0.003236358,-0.020984015,0.0305062,-0.027349679,-0.018516007
0.107699869,0.235030278,-0.014059443,0.094171405,-0.022257148,-0.008329575,-0.022893714,0.026686288,-0.033715344,-0.029339092
0.094966828,0.215930717,-0.012786139,0.099264622,-0.019710882,-0.014059443,-0.022893714,0.022866376,-0.032442211,-0.026792484
0.094966828,0.203197676,-0.005146314,0.103084534,-0.019074316,-0.021062615,-0.021620581,0.029869548,-0.031169078,-0.021062615
0.063134226,0.196831156,-0.008329575,0.104357838,-0.020984015,-0.020425963,-0.021620581,0.028596244,-0.031805645,-0.026155832
0.082233787,0.184098115,-0.015332747,0.10817775,-0.020347448,-0.020425963,-0.024803414,0.028596244,-0.031805645,-0.021062615
0.056767705,0.184098115,-0.008966227,0.103084534,-0.019074316,-0.013422791,-0.013345217,0.02732294,-0.030532512,-0.019152659
