reposo,esfuerzo,meditacion
-0.000530979,0.012202062,0.000583554
-0.025997061,0.050401185,0.009496683
-0.032363582,0.031301623,0.00249351
-0.038730102,0.063134226,0.005040118
-0.057829663,0.094966828,-5.31E-05
-0.064196184,0.075867267,0.015226551
-0.083295745,0.069500746,0.022866376
-0.108761827,0.088600307,0.009496683
-0.134227909,0.114066389,0.003130162
-0.134227909,0.171365074,0.005676771
-0.153327471,0.139532471,0.016499855
-0.172427032,0.171365074,0.010133335
-0.159693991,0.190464635,0.001856858
-0.191526594,0.177731594,0.015226551
-0.197893114,0.177731594,0.008860031
-0.197893114,0.196831156,0.007586727
-0.210626155,0.171365074,0.010133335
-0.210626155,0.190464635,0.011406639
-0.236092237,0.196831156,0.006313423
-0.216992675,0.203197676,0.014589899
-0.236092237,0.184098115,0.008223379
-0.229725716,0.177731594,0.007586727
-0.210626155,0.133165951,0.012679943
-0.229725716,0.133165951,0.012043291
-0.236092237,0.139532471,0.016499855
-0.216992675,0.094966828,0.022866376
-0.236092237,0.082233787,0.019046464
-0.216992675,0.056767705,0.026686288
-0.242458757,0.024935103,0.010769987
-0.229725716,0.024935103,0.015863203
-0.236092237,-0.000530979,0.012679943
-0.236092237,-0.0068975,0.018409811
-0.229725716,-0.038730102,0.012679943
-0.223359196,-0.064196184,0.017773159
-0.229725716,-0.076929225,0.017773159
-0.197893114,-0.089662266,0.013953247
-0.204259634,-0.127861389,0.005676771
-0.191526594,-0.14059443,0.011406639
-0.204259634,-0.159693991,-5.31E-05
-0.191526594,-0.197893114,0.005040118
-0.178793553,-0.197893114,0.007586727
-0.204259634,-0.204259634,-5.31E-05
-0.210626155,-0.255191798,-0.00387301
-0.178793553,-0.197893114,-0.002599706
-0.197893114,-0.185160073,-0.011512835
-0.197893114,-0.229725716,-0.00705627
-0.178793553,-0.229725716,-0.007692922
-0.191526594,-0.248825278,0.00249351
-0.178793553,-0.255191798,0.00249351
-0.210626155,-0.204259634,0.005676771
-0.204259634,-0.229725716,0.006950075
-0.178793553,-0.166060512,0.001220206
-0.191526594,-0.153327471,0.007586727
-0.178793553,-0.172427032,0.005040118
-0.166060512,-0.185160073,0.015863203
-0.14696095,-0.178793553,0.005040118
-0.153327471,-0.191526594,0.006950075
-0.153327471,-0.216992675,0.015863203
-0.14059443,-0.236092237,0.012043291
-0.166060512,-0.210626155,0.015863203
-0.159693991,-0.210626155,0.018409811
-0.178793553,-0.210626155,0.020319768
-0.172427032,-0.223359196,0.020319768
-0.159693991,-0.229725716,0.019046464
-0.172427032,-0.172427032,0.019683116
-0.178793553,-0.159693991,0.023503028
-0.14696095,-0.153327471,0.022229724
-0.153327471,-0.134227909,0.036872721
-0.14059443,-0.134227909,0.036236069
-0.121494868,-0.14696095,0.027959592
-0.121494868,-0.159693991,0.028596244
-0.096028786,-0.108761827,0.031142852
-0.076929225,-0.14059443,0.027959592
-0.076929225,-0.153327471,0.022866376
-0.076929225,-0.14696095,0.027959592
-0.057829663,-0.153327471,0.022229724
-0.076929225,-0.121494868,0.033689461
-0.102395307,-0.191526594,0.035599417
-0.070562704,-0.191526594,0.034962765
-0.070562704,-0.159693991,0.022866376
-0.089662266,-0.204259634,0.019683116
-0.096028786,-0.204259634,0.024776332
-0.083295745,-0.204259634,0.017773159
-0.064196184,-0.166060512,0.025412984
-0.083295745,-0.185160073,0.029869548
-0.089662266,-0.178793553,0.026049636
-0.089662266,-0.197893114,0.022866376
-0.127861389,-0.242458757,0.0305062
-0.134227909,-0.261558319,0.015226551
-0.159693991,-0.27429136,0.023503028
-0.172427032,-0.306123962,0.029232896
-0.185160073,-0.267924839,0.036236069
-0.191526594,-0.293390921,0.02413968
-0.191526594,-0.293390921,0.028596244
-0.191526594,-0.287024401,0.043239241
-0.197893114,-0.267924839,0.020319768
-0.204259634,-0.255191798,0.02732294
-0.191526594,-0.255191798,0.027959592
-0.178793553,-0.242458757,0.025412984
-0.204259634,-0.267924839,0.023503028
-0.185160073,-0.242458757,0.021593072
-0.204259634,-0.248825278,0.017773159
-0.223359196,-0.236092237,0.027959592
-0.210626155,-0.267924839,0.022229724
-0.229725716,-0.293390921,0.012043291
-0.204259634,-0.28065788,0.017773159
-0.197893114,-0.318857003,0.02732294
-0.191526594,-0.369789167,0.033052809
-0.185160073,-0.446187413,0.0305062
-0.185160073,-0.484386535,0.022866376
-0.178793553,-0.560784781,0.024776332
-0.185160073,-0.509852617,0.023503028
-0.191526594,-0.484386535,0.029232896
-0.185160073,-0.439820892,0.025412984
-0.197893114,-0.388888728,0.02732294
-0.191526594,-0.287024401,0.019683116
-0.204259634,-0.14059443,0.023503028
-0.191526594,0.094966828,0.02095642
-0.204259634,0.426025893,0.017773159
-0.197893114,0.578822384,0.015226551
-0.210626155,0.680686712,0.023503028
-0.216992675,0.706152794,0.0305062
