esfuerzo,Prueba,meditacion,reposo
-0.242458757,310.0,-0.010876183,0.044034664
-0.248825278,311.0,0.00249351,0.044034664
-0.242458757,312.0,-0.001326402,0.031301623
-0.248825278,313.0,0.001220206,0.050401185
-0.242458757,314.0,0.003766814,0.024935103
-0.242458757,315.0,0.005040118,0.037668144
-0.242458757,316.0,0.019046464,0.024935103
-0.255191798,317.0,0.005040118,0.018568582
-0.229725716,318.0,0.015226551,0.018568582
-0.242458757,319.0,0.007586727,0.012202062
-0.236092237,320.0,0.011406639,-0.0068975
-0.210626155,321.0,0.003766814,-0.000530979
-0.197893114,322.0,-0.002599706,-0.025997061
-0.191526594,323.0,0.006950075,-0.051463143
-0.223359196,324.0,0.010769987,-0.057829663
-0.210626155,325.0,-0.001326402,-0.070562704
-0.216992675,326.0,-0.003236358,-0.096028786
-0.191526594,327.0,-0.004509662,-0.108761827
-0.287024401,,0.004403466,-0.14059443
-0.267924839,,0.009496683,-0.127861389
-0.382522208,,0.010769987,-0.14059443
-0.446187413,,0.006313423,-0.153327471
-0.471653495,,0.005676771,-0.153327471
-0.522585658,,0.013953247,-0.178793553
-0.490753056,,0.007586727,-0.178793553
-0.465286974,,0.004403466,-0.191526594
-0.369789167,,0.018409811,-0.210626155
-0.267924839,,0.020319768,-0.185160073
-0.102395307,,0.019683116,-0.210626155
0.196831156,,0.017136507,-0.229725716
0.5215237,,0.023503028,-0.229725716
0.629754548,,0.019046464,-0.236092237
0.636121069,,0.022229724,-0.236092237
0.693419753,,0.008860031,-0.223359196
0.559722823,,0.015226551,-0.229725716
0.069500746,,0.005676771,-0.216992675
-0.369789167,,0.017773159,-0.216992675
-0.458920454,,0.005040118,-0.229725716
-0.54168522,,0.009496683,-0.204259634
-0.586250863,,-0.001326402,-0.223359196
-0.560784781,,0.003766814,-0.236092237
-0.516219138,,-0.001963054,-0.229725716
-0.509852617,,-0.001326402,-0.229725716
-0.458920454,,-0.023609224,-0.229725716
-0.401621769,,-0.021699268,-0.216992675
-0.401621769,,-0.012149487,-0.204259634
-0.357056126,,-0.008966227,-0.242458757
-0.299757442,,-0.015969399,-0.229725716
-0.223359196,,-0.016606051,-0.223359196
-0.255191798,,-0.02551918,-0.210626155
-0.197893114,,-0.015332747,-0.197893114
-0.229725716,,-0.012786139,-0.210626155
-0.178793553,,-0.005146314,-0.197893114
-0.178793553,,-0.013422791,-0.191526594
-0.178793553,,-0.010876183,-0.204259634
-0.178793553,,-0.010876183,-0.204259634
-0.166060512,,-0.005146314,-0.178793553
-0.153327471,,0.00249351,-0.197893114
-0.159693991,,-5.31e-05,-0.197893114
-0.127861389,,0.000583554,-0.191526594
-0.115128348,,0.001856858,-0.191526594
-0.115128348,,0.007586727,-0.166060512
-0.14059443,,0.006950075,-0.172427032
-0.121494868,,0.003130162,-0.153327471
-0.121494868,,0.000583554,-0.14696095
-0.153327471,,0.013953247,-0.14696095
-0.14059443,,0.014589899,-0.14696095
-0.121494868,,0.017136507,-0.127861389
-0.096028786,,0.015226551,-0.14059443
-0.102395307,,0.015863203,-0.134227909
-0.083295745,,0.017136507,-0.127861389
-0.102395307,,0.012043291,-0.134227909
-0.108761827,,0.012043291,-0.14059443
-0.096028786,,0.019683116,-0.153327471
-0.102395307,,0.035599417,-0.134227909
-0.076929225,,0.02732294,-0.14696095
-0.089662266,,0.026049636,-0.134227909
-0.083295745,,0.033052809,-0.14696095
-0.038730102,,0.028596244,-0.127861389
-0.057829663,,0.027959592,-0.127861389
-0.025997061,,0.034326113,-0.127861389
-0.025997061,,0.034326113,-0.083295745
-0.038730102,,0.036236069,-0.076929225
-0.038730102,,0.033689461,-0.070562704
-0.032363582,,0.029869548,-0.019630541
-0.032363582,,0.025412984,-0.045096623
-0.01326402,,0.02413968,-0.019630541
0.005835541,,0.017136507,-0.051463143
0.024935103,,0.020319768,-0.051463143
0.050401185,,0.014589899,-0.064196184
0.044034664,,0.013953247,-0.064196184
0.056767705,,0.015863203,-0.057829663
0.075867267,,0.012679943,-0.064196184
0.075867267,,0.013316595,-0.051463143
0.101333348,,0.003766814,-0.038730102
0.101333348,,0.000583554,-0.070562704
0.133165951,,-0.006419618,-0.070562704
0.139532471,,-0.009602879,-0.057829663
0.171365074,,-0.007692922,-0.070562704
0.196831156,,-0.012786139,-0.096028786
0.177731594,,-0.005146314,-0.096028786
0.196831156,,-0.010876183,-0.115128348
0.177731594,,-0.010239531,-0.127861389
0.184098115,,-0.003236358,-0.134227909
0.152265512,,-0.019152659,-0.14059443
0.12043291,,-0.010239531,-0.159693991
